student_id,name,stream_id,dept_id,enrollment_year
ST001,Student1,S05,D01,2024
ST002,Student2,S01,D05,2024
ST003,Student3,S04,D04,2023
ST004,Student4,S04,D02,2024
ST005,Student5,S04,D01,2024
ST006,Student6,S01,D01,2023
ST007,Student7,S01,D02,2024
ST008,Student8,S02,D05,2023
ST009,Student9,S01,D02,2024
ST010,Student10,S02,D04,2022
ST011,Student11,S03,D02,2023
ST012,Student12,S03,D03,2022
ST013,Student13,S04,D02,2023
ST014,Student14,S04,D02,2023
ST015,Student15,S05,D01,2023
ST016,Student16,S01,D04,2023
ST017,Student17,S03,D05,2023
ST018,Student18,S03,D04,2024
ST019,Student19,S05,D01,2022
ST020,Student20,S02,D04,2023
ST021,Student21,S03,D04,2024
ST022,Student22,S01,D02,2022
ST023,Student23,S04,D02,2022
ST024,Student24,S05,D01,2022
ST025,Student25,S04,D02,2023
ST026,Student26,S02,D05,2023
ST027,Student27,S01,D03,2024
ST028,Student28,S02,D01,2023
ST029,Student29,S05,D01,2022
ST030,Student30,S03,D01,2023
ST031,Student31,S03,D05,2023
ST032,Student32,S03,D01,2024
ST033,Student33,S04,D03,2023
ST034,Student34,S04,D05,2023
ST035,Student35,S01,D01,2023
ST036,Student36,S02,D01,2022
ST037,Student37,S03,D04,2024
ST038,Student38,S04,D01,2022
ST039,Student39,S03,D04,2023
ST040,Student40,S02,D01,2022
ST041,Student41,S05,D03,2023
ST042,Student42,S05,D01,2023
ST043,Student43,S02,D04,2023
ST044,Student44,S04,D02,2024
ST045,Student45,S01,D03,2022
ST046,Student46,S03,D03,2022
ST047,Student47,S03,D05,2024
ST048,Student48,S03,D03,2024
ST049,Student49,S05,D05,2024
ST050,Student50,S01,D01,2023
ST051,Student51,S02,D03,2024
ST052,Student52,S03,D01,2022
ST053,Student53,S03,D02,2024
ST054,Student54,S01,D02,2024
ST055,Student55,S03,D01,2022
ST056,Student56,S02,D01,2022
ST057,Student57,S02,D04,2022
ST058,Student58,S02,D05,2024
ST059,Student59,S03,D02,2022
ST060,Student60,S04,D03,2022
ST061,Student61,S01,D02,2024
ST062,Student62,S03,D01,2022
ST063,Student63,S05,D03,2022
ST064,Student64,S03,D02,2022
ST065,Student65,S01,D01,2024
ST066,Student66,S04,D03,2022
ST067,Student67,S05,D02,2023
ST068,Student68,S04,D02,2024
ST069,Student69,S01,D03,2023
ST070,Student70,S05,D03,2023
ST071,Student71,S05,D01,2023
ST072,Student72,S03,D02,2023
ST073,Student73,S01,D02,2024
ST074,Student74,S05,D03,2022
ST075,Student75,S03,D05,2024
ST076,Student76,S03,D02,2024
ST077,Student77,S02,D02,2022
ST078,Student78,S05,D05,2024
ST079,Student79,S02,D05,2022
ST080,Student80,S01,D01,2023
ST081,Student81,S01,D03,2024
ST082,Student82,S01,D04,2023
ST083,Student83,S02,D01,2023
ST084,Student84,S02,D02,2023
ST085,Student85,S04,D03,2023
ST086,Student86,S01,D02,2022
ST087,Student87,S03,D01,2024
ST088,Student88,S02,D04,2022
ST089,Student89,S04,D01,2023
ST090,Student90,S05,D01,2024
ST091,Student91,S05,D05,2024
ST092,Student92,S04,D02,2023
ST093,Student93,S01,D04,2023
ST094,Student94,S05,D03,2023
ST095,Student95,S04,D01,2023
ST096,Student96,S03,D03,2023
ST097,Student97,S02,D03,2022
ST098,Student98,S04,D01,2023
ST099,Student99,S04,D01,2022
ST100,Student100,S04,D01,2022
